,Título,Data de lançamento,Direção
0,Coringa,3 de outubro de 2019,Todd Phillips
1,Abominável,26 de setembro de 2019,Jill Culton
2,Angry Birds 2 - O Filme,3 de outubro de 2019,Thurop Van Orman
3,Ad Astra - Rumo às Estrelas,26 de setembro de 2019,James Gray
4,"Ela Disse, Ele Disse",3 de outubro de 2019,Cláudia Castro
5,Predadores Assassinos,26 de setembro de 2019,Alexandre Aja
6,Rambo: Até o Fim,19 de setembro de 2019,Adrian Grunberg
7,Hebe - A Estrela do Brasil,26 de setembro de 2019,Maurício Farias
8,It - Capítulo 2,5 de setembro de 2019,Andy Muschietti
9,Vai que Cola 2 - O Começo,12 de setembro de 2019,César Rodrigues
10,Divaldo - O Mensageiro da Paz,12 de setembro de 2019,Clovis Mello
11,Bacurau,29 de agosto de 2019,Kleber Mendonça Filho
12,O Rei Leão,18 de julho de 2019,Jon Favreau
13,Yesterday,29 de agosto de 2019,Danny Boyle
14,O Poderoso Chefão,24 de março de 1972,Francis Ford Coppola
15,Ambiente Familiar,26 de setembro de 2019,Torquato Joel
16,Rainha de Copas,12 de setembro de 2019,May el-Toukhy
17,De Peito Aberto,3 de outubro de 2019,Graziela Mantoanelli
18,Era uma Vez em... Hollywood,15 de agosto de 2019,Quentin Tarantino
19,A Turma do Pererê.doc,3 de outubro de 2019,Ricardo Favilla
20,O Clube dos Canibais,3 de outubro de 2019,Guto Parente
21,Paulo de Tarso e a História do Cristianismo Primitivo,3 de outubro de 2019,André Marouço
22,Encontros,3 de outubro de 2019,Cédric Klapisch
23,Sócrates,26 de setembro de 2019,Alex Moratto
24,Domingo,3 de outubro de 2019,Fellipe Barbosa
25,A Tabacaria,5 de setembro de 2019,Nikolaus Leytner	
26,O Homem Ideal?,3 de outubro de 2019,Carles Alberola
27,O Homem que Cuida,3 de outubro de 2019,Alejandro Andújar
28,Nada a Perder 2,15 de agosto de 2019,Alexandre Avancini
29,Depois do Casamento,19 de setembro de 2019,Bart Freundlich
30,O Maior Presente,19 de setembro de 2019,Juan Manuel Cotelo
31,O Mal Não Espera a Noite - Midsommar,19 de setembro de 2019,Ari Aster
32,As Loucuras de Rose,3 de outubro de 2019,Tom Harper (III)
33,Carta para Além dos Muros,26 de setembro de 2019,André Canto
34,"O Fim da Viagem, o Começo de Tudo",12 de setembro de 2019,Kiyoshi Kurosawa
35,Vai que Cola - O Filme,1 de outubro de 2015,César Rodrigues
36,Pássaros de Verão,22 de agosto de 2019,Ciro Guerra
37,O Menino que Fazia Rir,26 de setembro de 2019,Caroline Link
38,Dor e Glória,13 de junho de 2019,Pedro Almodóvar
39,Torre das Donzelas,19 de setembro de 2019,Susanna Lira
40,Quem Você Pensa que Sou,12 de setembro de 2019,Safy Nebbou
41,Filhas do Sol,26 de setembro de 2019,Eva Husson
42,Legalidade,12 de setembro de 2019,Zeca Brito
43,Corgi: Top Dog,5 de setembro de 2019,Ben Stassen
44,Foro Íntimo,26 de setembro de 2019,Ricardo Mehedff
45,A Música da Minha Vida,19 de setembro de 2019,Gurinder Chadha
46,Velozes & Furiosos: Hobbs & Shaw,1 de agosto de 2019,David Leitch
47,Pets - A Vida Secreta dos Bichos 2,27 de junho de 2019,Chris Renaud
