,Temperatura máxima,Temperatura mínima,Semana,Dia,Local
0,31°,15°, Previsão de sexta, 04/10, para São Paulo - SP   
1,31°,15°, Previsão de sábado, 05/10, para São Paulo - SP   
2,34°,18°, Previsão de domingo, 06/10, para São Paulo - SP   
3,34°,18°, Previsão de segunda, 07/10, para São Paulo - SP   
4,28°,19°, Previsão de terça, 08/10, para São Paulo - SP   
5,28°,19°, Previsão de quarta, 09/10, para São Paulo - SP   
6,21°,16°, Previsão de quinta, 10/10, para São Paulo - SP   
7,21°,16°, Previsão de sexta, 11/10, para São Paulo - SP   
8,21°,15°, Previsão de sábado, 12/10, para São Paulo - SP   
9,21°,15°, Previsão de domingo, 13/10, para São Paulo - SP   
10,26°,19°, Previsão de segunda, 14/10, para São Paulo - SP   
11,26°,19°, Previsão de terça, 15/10, para São Paulo - SP   
12,26°,20°, Previsão de quarta, 16/10, para São Paulo - SP   
13,26°,20°, Previsão de quinta, 17/10, para São Paulo - SP   
14,29°,21°, Previsão de sexta, 18/10, para São Paulo - SP   
