,Titulo,Tamanho do titulo,Resumo,Data da publicação,Creditos da noticia
0,"Investigação desde o começo do ano | Bolsonaro manterá no cargo ministro indiciado pela PF, diz porta-voz",105,"Bolsonaro manterá no cargo ministro indiciado pela PF, diz porta-voz","Fri, 04 Oct 2019 12:50:49 -0300",
11,Em entrevista a site | Lula diz que ficou comovido com ligação de Gilmar Mendes em velório de neto,98,Lula diz que ficou comovido com ligação de Gilmar Mendes em velório de neto,"Fri, 04 Oct 2019 13:51:35 -0300",
7,"Ironizou filho de Bolsonaro | Fake news via WhatsApp manipulam eleição, diz Alexandre de Moraes",95,"Fake news via WhatsApp manipulam eleição, diz Alexandre de Moraes","Fri, 04 Oct 2019 13:47:18 -0300",
19,Em busca do passado | 'É doloroso não saber de onde vim': eles foram atrás de raízes indígenas,94,'É doloroso não saber de onde vim': eles foram atrás de raízes indígenas,"Fri, 04 Oct 2019 13:46:19 -0300",Arte/UOL
5,Disputa entre facções | Guerra do tráfico no RJ deixa um morto e 6 feridos; Bope faz operação,93,Guerra do tráfico no RJ deixa um morto e 6 feridos; Bope faz operação,"Fri, 04 Oct 2019 13:47:18 -0300",JOSE LUCENA/ESTADÃO CONTEÚDO
20,"O futebol como escola de vida | Betão relata racismo na Ucrânia: 'Vovó, o negro fala russo'",91,"Betão relata racismo na Ucrânia: 'Vovó, o negro fala russo'","Fri, 04 Oct 2019 13:46:19 -0300",Caio Cezar/UOL
14,"Hoje no Rock in Rio | Iron Maiden trará Eddie capetão, lança-chamas e clássico 'esquecido'",90,"Iron Maiden trará Eddie capetão, lança-chamas e clássico 'esquecido'","Fri, 04 Oct 2019 13:48:57 -0300",Divulgação/Facebook
3,Vereadora assassinada | PGR quer manter PM acusado de matar Marielle em presídio federal,88,PGR quer manter PM acusado de matar Marielle em presídio federal,"Fri, 04 Oct 2019 13:33:01 -0300",
4,"Falou à Band | 'Ser embaixador nos EUA não é virar as costas para o Brasil', diz Eduardo",88,"'Ser embaixador nos EUA não é virar as costas para o Brasil', diz Eduardo","Fri, 04 Oct 2019 13:47:18 -0300",Reprodução/Band
10,Dados do Enade | Só 3% dos cursos superiores privados têm nota máxima; federais têm 29%,87,Só 3% dos cursos superiores privados têm nota máxima; federais têm 29%,"Fri, 04 Oct 2019 13:51:35 -0300",
9,Violência em SP | Professora estuprada em escola hesitou em fazer denúncia após ameaça,86,Professora estuprada em escola hesitou em fazer denúncia após ameaça,"Fri, 04 Oct 2019 13:51:35 -0300",Reprodução/Google Maps
2,Sancionado hoje | Novo marco das telecomunicações muda foco de telefone para internet,85,Novo marco das telecomunicações muda foco de telefone para internet,"Fri, 04 Oct 2019 13:33:01 -0300",Getty Images
12,Eleição no domingo | Vote para o Conselho Tutelar e defenda as crianças do seu bairro,85,Vote para o Conselho Tutelar e defenda as crianças do seu bairro,"Fri, 04 Oct 2019 13:48:57 -0300",iStock
13,"Nem herói nem coitado | Tetraplégico, Rodrigo critica ideia de superação individual",83,"Tetraplégico, Rodrigo critica ideia de superação individual","Fri, 04 Oct 2019 13:48:57 -0300",Pablo Saborido/UOL
18,"'Para, para, para!' | João Kléber: 'Faria sucesso se estivesse no lugar de Faustão'",83,João Kléber: 'Faria sucesso se estivesse no lugar de Faustão',"Fri, 04 Oct 2019 13:46:19 -0300",Marcus Steimeyer/UOL
1,"Em 2017 e 2018 | IBGE: 2,7% das famílias concentram 20% de toda a renda brasileira",82,"IBGE: 2,7% das famílias concentram 20% de toda a renda brasileira","Fri, 04 Oct 2019 13:33:01 -0300",Pexels
16,Palmeiras | Mano supera arrancada de Felipão que levou a título do Brasileiro,77,Mano supera arrancada de Felipão que levou a título do Brasileiro,"Fri, 04 Oct 2019 13:48:57 -0300",DIEGO VARA/REUTERS
17,Fique atento! | Completar nível de óleo no posto pode não ser uma boa ideia,75,Completar nível de óleo no posto pode não ser uma boa ideia,"Fri, 04 Oct 2019 13:48:57 -0300",Divulgação
15,"Opinião | Feltrin: Nada acontece com Silvio, ele só está sendo esperto",70,"Feltrin: Nada acontece com Silvio, ele só está sendo esperto","Fri, 04 Oct 2019 13:48:57 -0300",Reprodução/SBT
8,Novembro | Tite 'poupará' times envolvidos em decisões em convocação,68,Tite 'poupará' times envolvidos em decisões em convocação,"Fri, 04 Oct 2019 13:51:35 -0300",Michael Regan - FIFA/FIFA via Getty Images
21,"Reinaldo Azevedo | Em SP, procurador prova que Moraes está certo",64,"Em SP, procurador prova que Moraes está certo","Fri, 04 Oct 2019 09:00:30 -0300",UOL
27,"Renata Mendonça | Demorou, mas futebol feminino chegou pra ficar",64,"Demorou, mas futebol feminino chegou pra ficar","Fri, 04 Oct 2019 09:00:30 -0300",Divulgação
